title,link,publisher,subject,license,author1,author2,author3,author4,author5,latest_version,Resource Type
14th Amendment,https://opencasebook.org/casebooks/148049-14th-amendment-course/,H2O,Constitutional Law,CC BY-NC-SA-3.0,Paul Gowder,,,,,,Casebook
Advanced Constitutional Law,https://opencasebook.org/casebooks/114149-advanced-constitutional-law,H2O,Constitutional Law,CC BY-NC-SA-3.0,Kendra Albert,,,,,1.19,Casebook
Advertising & Marketing Law: Cases & Materials,https://blog.ericgoldman.org/archives/2019/01/announcing-the-fourth-edition-of-advertising-marketing-law-cases-materials-by-tushnet-goldman-2.htm,self-published,Advertising Law,None,Rebecca Tushnet,Eric Goldman,,,,4th ed. (2018),Casebook
American Contract Law for a Global Age,https://www.cali.org/books/american-contract-law-global-age,CALI,Contract,CC BY-NC-SA 3.0,Frank Snyder,Mark Edwin Burge,,,,,Casebook
An Introduction to Property Law in the U.S.,https://www.semaphorepress.com/PropertyLaw_overview.html,Semaphore,Property,None,Steve Semeraro,,,,,v2.1 (7.19),Casebook
An Introduction to the Law of Corporations: Cases and Materials,https://opencasebook.org/casebooks/72837-an-introduction-to-the-law-of-corporations-cases-and-materials/,H2O,Corporations,CC BY-NC-SA-3.0,Brian JM Quinn,,,,,Fall 2019,Casebook
An Open Internet Law Casebook,https://opencasebook.org/casebooks/24172-an-open-internet-law-casebook,H2O,Internet Law,CC BY-NC-SA-3.0,Michael Risch,,,,,,Casebook
Basic Income Tax,https://www.cali.org/books/basic-income-tax,CALI,Tax,CC BY-NC-SA 3.0,William P. Kratzke,,,,,7th ed. (7.19),Casebook
"Cases and Problems in Civil Rights Litigation: State, Federal and International Perspectives",https://www.semaphorepress.com/CivilRightsLitigationOverview.html,Semaphore,Civil Rights,None,John T. Parry,,,,,2d ed. (7.19),Casebook
Civil Procedure,https://opencasebook.org/casebooks/29269-civil-procedure-fall-2014/,H2O,Civil Procedure,CC BY-NC-SA-3.0,I. Glenn Cohen,,,,,Fall 2014,Casebook
Conflict of Laws,https://opencasebook.org/casebooks/27674-conflict-of-laws-textbook,H2O,Conflict of Laws,CC BY-NC-SA-3.0,Joseph William Singer,,,,,,Casebook
Constitutional Law,https://opencasebook.org/casebooks/128853-constitutional-law,H2O,Constitutional Law,CC BY-SA-3.0,Lawrence Lessig,,,,,7.19,Casebook
